,IteratorGetNext,StringToHashBucketFast,MatMul,Unique,Mul,ConcatV2,RealDiv,Add,GatherV2,ApplyAdam,Cast,DynamicStitch,Select,BiasAdd,Tile,Sub,Shape,LeakyRelu,BiasAddGrad,Mean,AddN,LeakyReluGrad,Sum,Reshape,RandomUniform,Slice,Neg,StridedSlice,Floor,Const,ZerosLike,UnsortedSegmentSum,ScatterAdd,Sqrt,MEMCPYHtoD,Assign,VariableV2,AssignSub,Size,ExpandDims,NoOp,BroadcastGradientArgs,GreaterEqual,Maximum,Exp,Log1p,Reciprocal,FloorDiv,Transpose,Identity,Fill,MEMCPYDtoH,ShapeN,Snapshot,Pack,AssignAdd,IteratorV2,ConcatOffset,_Arg,_Retval
ratio,0.2790363335366385,0.07475821207632656,0.06669861462054544,0.03557114228456914,0.03136708199006709,0.061231157968110135,0.015160756295199094,0.0507754639714211,0.011152740263134965,0.010564607475821207,0.008647730243094886,0.04916354448026488,0.010433911300862594,0.006600156835409951,0.008364555197351225,0.008734861026400626,0.0456783131480352,0.04471987453167204,0.015836019865818594,0.006425895268798466,0.0057070663065260955,0.0055981528273939185,0.006665504922889256,0.00544567395660887,0.0463535767186547,0.005227846998344515,0.005423891260782435,0.005946675960616886,0.004269408381981354,0.006099154831401934,0.004683279602683628,0.0036159275071882897,0.0034416659405768057,0.0037466236821469025,0.003049577415700967,0.0038337544654526443,0.004574366123551451,0.0027446196741308703,0.002004008016032064,0.001960442624379193,0.0015247887078504835,0.002439661932560774,0.002679271586651564,0.00226540036594929,0.0017208329702884028,0.001546571403676919,0.0022000522784699833,0.0022436176701228546,0.0021129214951642415,0.0017208329702884028,0.0007188289622723709,0.001132700182974645,0.0014158752287183063,0.0014812233161976126,0.0009148732247102902,0.0007406116580988063,0.0009366559205367256,0.0006099154831401935,0.00017426156661148382,0.0001089134791321774
ratio,0.30579216354344124,0.10618966496308915,0.08577828254148527,0.04460849264937851,0.05773234904410373,0.034702504889898414,0.023029844154205312,0.0173828001766673,0.01485898163922014,0.01725660924979494,0.01375481102908701,0.014543504322039245,0.012335163101772982,0.015206006688119124,0.011704208467411194,0.011735756199129282,0.010600037857278062,0.013944097419395545,0.009653605905735378,0.009937535491198184,0.0089911035396555,0.008423244368729889,0.008013123856394725,0.009653605905735378,0.0053631143920752095,0.008580983027320336,0.00653038046564452,0.007634551075777651,0.007287526026878668,0.010379203735251436,0.004416682440532525,0.006593475929080699,0.004700612025995331,0.005710139440974194,0.0044797779039687045,0.006435737270490252,0.0073821692220329355,0.004006561928197362,0.0036595368792983786,0.0037226323427345573,0.0021136980251119943,0.003943466464761184,0.0021767934885481735,0.0035648936841441103,0.003501798220707931,0.0025238185374471577,0.0027131049277556944,0.003091677708372768,0.0017035775127768314,0.00296548678150041,0.0012619092687235788,0.0013881001955959366,0.001009527414978863,0.0008833364881065052,0.0009779796832607736,0.0011672660735693103,0.001135718341851221,0.0007886932929522367,0.0001892863903085368,0.0001892863903085368
ratio,0.31235923423423423,0.12278293918918919,0.09177927927927929,0.04849380630630631,0.04613597972972973,0.03205940315315315,0.021396396396396396,0.01756052927927928,0.01833474099099099,0.01463963963963964,0.012844876126126127,0.01467483108108108,0.015484234234234234,0.011789132882882882,0.011050112612612613,0.011366835585585586,0.011120495495495495,0.010803772522522523,0.009325731981981982,0.008586711711711712,0.00950168918918919,0.00805884009009009,0.007671734234234234,0.008234797297297296,0.006440033783783784,0.0070030968468468464,0.005349099099099099,0.005982545045045045,0.005243524774774775,0.006897522522522522,0.004469313063063063,0.005102759009009009,0.005032376126126126,0.005137950450450451,0.004926801801801802,0.0047156531531531536,0.005349099099099099,0.004328547297297297,0.00390625,0.005736204954954955,0.0027449324324324326,0.0033079954954954955,0.002815315315315315,0.003343186936936937,0.002146677927927928,0.002533783783783784,0.005032376126126126,0.002181869369369369,0.0016539977477477478,0.0024282094594594594,0.0020411036036036036,0.0014076576576576576,0.0014780405405405406,0.0009149774774774775,0.0010909346846846846,0.0010205518018018018,0.0007742117117117117,0.0011261261261261261,0.00014076576576576576,0.00014076576576576576
ratio,0.32029444187617795,0.12143949361686995,0.08897265388855304,0.04903808541659258,0.04846911560755308,0.03374702179865581,0.023256640944489884,0.017886988371679527,0.016926851818925358,0.01500657871341702,0.013264108673233526,0.01265957825112905,0.013335229899363464,0.012303972120479357,0.011877244763699725,0.010205895949646172,0.009636926140606664,0.010561502080295864,0.009565804914476726,0.00793001671348814,0.00800113793961808,0.009601365527541695,0.007965577326553109,0.007609971195903418,0.006792077095409125,0.00704100138686391,0.00839230468333274,0.005867501155719925,0.0047651221507058784,0.006045304221044771,0.004587319085381032,0.005476334412005263,0.0050851676682906015,0.0049429252160307245,0.0049784858290956935,0.0047295615376409085,0.0043739554069912165,0.004338394793926247,0.0038761068240816474,0.0028448490451975393,0.0025603641406777853,0.0030226521105223853,0.0023470004622879698,0.00280928843213257,0.0024536823014828777,0.0025248035276128162,0.0027381672060026313,0.0021691973969631237,0.0023825610753529392,0.0022047580100280927,0.002240318623093062,0.0014224245225987696,0.0009956971658191386,0.0011023790050140464,0.0018847124924433697,0.0012801820703388926,0.0008534547135592617,0.0010668183919490771,0.00014224245225987695,0.00010668183919490771
ratio,0.3137658771026433,0.12988796304965203,0.084230565178042,0.05143088974190931,0.04384733015011079,0.03935336891052648,0.021127859438879005,0.013950004681209625,0.013481883718752925,0.013201011141278907,0.01557282401772618,0.01160939986892613,0.015510407889398621,0.013419467590425366,0.010142620853228474,0.010142620853228474,0.008363761195893018,0.01154698374059857,0.008301345067565458,0.010080204724900914,0.007240270885996942,0.007021814436850482,0.006990606372686703,0.007614767655962301,0.014043628873700965,0.0066161096027213435,0.006928190244359142,0.005835907998626845,0.013950004681209625,0.005804699934463065,0.006085572511937085,0.004587585432075649,0.004525169303748088,0.0048684580095496675,0.004181880597946509,0.004400337047092969,0.00408825640545517,0.0038697999563087103,0.003557719314670911,0.0031208064163779923,0.005149330587023687,0.0026526854539212935,0.0028711419030677528,0.003464095122179571,0.0031208064163779923,0.0022781886839559344,0.0025902693255937335,0.0021221483631370347,0.0016540274006803359,0.001591611272352776,0.0010298661174047373,0.0012483225665511969,0.0009986580532409574,0.0009674499890771776,0.0009362419249133976,0.0009362419249133976,0.001123490309896077,0.0006553693474393783,0.00018724838498267952,0.00012483225665511967
ratio,0.3218349416678669,0.11518795909549186,0.09632003456718997,0.04835805847616304,0.04691775889384992,0.02696960967881319,0.026897594699697536,0.01479907820826732,0.021280426328676365,0.014871093187382976,0.012998703730375918,0.014366988333573383,0.013214748667722886,0.01166642661673628,0.011054299294253205,0.010154112055307503,0.01058620193000144,0.009361947285035288,0.008893849920783523,0.008281722598300446,0.010154112055307503,0.007741610254933026,0.00802967017139565,0.007561572807143886,0.007885640213164338,0.007561572807143886,0.008641797493878728,0.005617168371021173,0.004788996111191128,0.006553363099524701,0.006337318162177733,0.00511306351721158,0.005185078496327236,0.005077056027653752,0.0052570934754428925,0.004788996111191128,0.004428921215612848,0.004356906236497191,0.003960823851361083,0.0032406740602045226,0.0031326515915310383,0.0032406740602045226,0.0022684718421431657,0.0030966441019732102,0.0024125018003744777,0.002160449373469682,0.002664554227279274,0.0019444044361227135,0.002340486821258822,0.0017643669883335735,0.0009722022180613568,0.0015123145614287772,0.0011162321762926688,0.0009722022180613568,0.0010082097076191847,0.0010082097076191847,0.001080224686734841,0.0007561572807143886,0.00014402995823131211,0.00010802246867348409
ratio,0.3030460366908965,0.13565247490481136,0.09027345102111457,0.047282796815507094,0.049601938386985116,0.03714087919695396,0.022256836275527863,0.018622360678435444,0.013291796469366563,0.014364832121841468,0.011664935964001385,0.011907234337140879,0.013984077535479405,0.009761163032191069,0.010834198684665975,0.009726548978885427,0.011941848390446522,0.008895811699550017,0.009068881966078227,0.00910349601938387,0.008757355486327448,0.008030460366908965,0.00661128418137764,0.007476635514018692,0.008895811699550017,0.0069920387677397024,0.008688127379716165,0.007026652821045344,0.009657320872274144,0.0063689858082381446,0.0053997923156801665,0.004984423676012461,0.0048805815160955345,0.004776739356178609,0.005261336102457598,0.004742125302872966,0.004188300449982693,0.004153686396677051,0.004153686396677051,0.004465212876427829,0.0017307026652821046,0.0029421945309795776,0.0029768085842852197,0.003426791277258567,0.0035998615437867775,0.002284527518172378,0.002215299411561094,0.003080650744202146,0.001973001038421599,0.0019383869851159572,0.001903772931810315,0.0014537902388369677,0.0012461059190031153,0.0010038075458636206,0.001142263759086189,0.0013499480789200416,0.0006230529595015577,0.0009345794392523365,0.00013845621322256836,0.00010384215991692627
ratio,0.3135757277110978,0.14064974833691177,0.08155291964379993,0.047305621062264616,0.04807996902608145,0.028897258104255395,0.022315300411812327,0.01492379712083348,0.018126781880257646,0.01569814508465031,0.01344549646263771,0.011016859667030376,0.011052057301749322,0.013515891732075605,0.011685614726690366,0.010488895146246173,0.01277674140297772,0.009784942451867234,0.009538559008834607,0.00915138502692619,0.008060258350638836,0.008236246524233572,0.007356305656259899,0.007849072542325156,0.006757945866037803,0.0072859103868220055,0.006194783710534652,0.006863538770194643,0.0055612262855936085,0.006018795536939917,0.007391503290978846,0.005350040477279927,0.005138854668966245,0.004892471225933617,0.004857273591214671,0.004399704339868361,0.004188518531554679,0.004188518531554679,0.0046108901481820425,0.004470099609306255,0.0031677871247052197,0.0035197634718946887,0.0031325894899862728,0.0039069374538031046,0.0031325894899862728,0.0023934391608883884,0.0015838935623526099,0.0021118580831368133,0.0016190911970715568,0.0017950793706662913,0.0013727077540389287,0.0014783006581957693,0.0020766604484178663,0.0009503361374115659,0.0010559290415684066,0.0011263243110063003,0.0007391503290978846,0.0012319172151631411,0.00017598817359473442,0.00017598817359473442
ratio,0.312032182543608,0.13047779206647542,0.09005176905068091,0.04431694529627065,0.04820786757674679,0.03663402248821183,0.023048768424176476,0.016783724074257263,0.012464140864576121,0.013980941075609193,0.01315659313483035,0.01800375902660995,0.013486332311141887,0.01315659313483035,0.011211131994592278,0.013123619217199196,0.00966135786592805,0.008935931678042668,0.00886998384278036,0.009991097042239588,0.00797968806673921,0.008276453325419594,0.007056418373066904,0.007386157549378442,0.0045504006330992185,0.007485079302271903,0.006166122597025753,0.006693705279124213,0.007584001055165364,0.006594783526230752,0.0045504006330992185,0.004880139809410756,0.004946087644673063,0.004847165891779602,0.0044185049625746035,0.004616348468361526,0.004517426715468065,0.004154713621525374,0.0037590266099515285,0.0039238961981072976,0.005836383420714215,0.0030006265044349918,0.0022752003165496092,0.003165496092590761,0.003627130939426913,0.002604939492861147,0.0029017047515415306,0.002044382893131533,0.0018135654697134566,0.0016816697991888416,0.0013849045405084578,0.0013849045405084578,0.0013189567052461504,0.0008573218584099977,0.0010551653641969203,0.0010221914465657666,0.0008573218584099977,0.0008573218584099977,0.00019784350578692255,0.00013189567052461504
ratio,0.30800440104524823,0.1127767844863155,0.09379727685325265,0.04607344244258011,0.04858341356072067,0.0394374914042085,0.022761655893274654,0.014440929720808692,0.013065603080731673,0.016297620684912667,0.017329115664970432,0.012068491266675835,0.013306285242745151,0.008389492504469812,0.013581350570760556,0.010830697290606518,0.01045248246458534,0.007598679686425526,0.009249071654517948,0.008870856828496768,0.009799202310548755,0.00863017466648329,0.010865080456608445,0.008802090496492916,0.007667446018429377,0.008148810342456334,0.007014165864392794,0.005638839224315775,0.01626323751891074,0.005879521386329253,0.006464035208361986,0.005123091734286893,0.004916792738275341,0.004985559070279191,0.004676110576261862,0.004504194746252235,0.004366662082244533,0.004125979920231055,0.004469811580250309,0.0037133819282079493,0.003610232430202173,0.003816531426213726,0.003747765094209875,0.0030257186081694403,0.002097373126117453,0.0026818869481501856,0.002613120616146335,0.002200522624123229,0.0020629899601155273,0.0016160088020904964,0.0017879246321001237,0.001650391968092422,0.0010314949800577637,0.0014097098060789437,0.0009627286480539128,0.0009971118140558383,0.0006188969880346583,0.0007908128180442855,0.0001719158300096273,0.00013753266400770182
