,GPU/MatMul,GPU/SegmentSum,GPU/Mul,GPU/ResourceApplyAdam,GPU/Slice,GPU/ConcatV2,GPU/RealDiv,GPU/Softmax,GPU/AddN,GPU/GatherV2,GPU/Relu,GPU/Sum,GPU/UnsortedSegmentSum,GPU/Sub,GPU/RandomUniform,GPU/AssignSubVariableOp,GPU/Add,GPU/ReadVariableOp,GPU/Floor,GPU/LeakyReluGrad,GPU/LeakyRelu,GPU/ReluGrad,GPU/Reshape,GPU/Const,GPU/unknown,GPU/Shape,GPU/VarHandleOp,GPU/SparseSoftmaxCrossEntropyWithLogits,GPU/BroadcastGradientArgs,GPU/Cast,GPU/NoOp,GPU/Snapshot,GPU/DynamicStitch,GPU/ShapeN,GPU/Mean,GPU/AssignAdd,GPU/ConcatOffset,GPU/Unpack,GPU/Maximum,GPU/MEMCPYHtoD,MEMCPY/MEMCPYHtoD,GPU/MEMCPYDtoH,MEMCPY/MEMCPYDtoH,GPU/StridedSlice,GPU/FloorDiv,GPU/Size,MEMCPY/AssignSubVariableOp,CPU/_Arg,GPU/AssignVariableOp,GPU/VariableV2,GPU/ExpandDims,GPU/Tile,CPU/NoOp,CPU/_Retval
ratio,0.4432112939575626,0.09418718373942254,0.0900199855423736,0.02510949525874899,0.02436535272356168,0.03031849300506017,0.023493642896627972,0.0247267933835098,0.01754050261512948,0.019220138623123696,0.016434919419994046,0.014819067057873028,0.014734022196708763,0.012990602542841349,0.01518050771782115,0.01486158948845516,0.013904834800357188,0.014925373134328358,0.011119615597227538,0.0078879108729855,0.009631330526852914,0.007165029553089255,0.005421609899221839,0.006846111323723264,0.005442871114512905,0.007250074414253519,0.005038908023982651,0.004082153335884679,0.004762512225198793,0.001658374792703151,0.0018072032997406133,0.0020410766679423396,0.0011693668410086321,0.0009780159033890377,0.0007866649657694433,0.0007228813198962453,0.0009780159033890377,0.000531530382276651,0.0004677467364034528,0.0004464855211123868,0.0004464855211123868,0.0004252243058213207,0.0004252243058213207,0.00031891822936599057,0.00036144065994812266,0.00029765701407492455,0.00021261215291066036,0.0003827018752391887,0.00021261215291066036,0.00021261215291066036,0.00014882850703746227,0.00010630607645533018,0.00010630607645533018,6.378364587319811e-05
ratio,0.45033474817310637,0.10657244125497746,0.08484662845140682,0.027108038331947665,0.025904695226009713,0.023957467290946485,0.02244781866713342,0.02196648142475824,0.01877215245263204,0.01837833107250689,0.016978077276506368,0.015249638997068219,0.01487769658250558,0.015249638997068219,0.016737408655318777,0.012405373473942152,0.011770883472629414,0.01181464140375443,0.009101649674003414,0.008598433466065725,0.007963943464752987,0.007416969325690281,0.006191747254189822,0.006366778978689888,0.0056010151840021,0.005404104493939526,0.004244519319126592,0.0041570034568765585,0.004178882422439067,0.0019472279350632301,0.0014658906926880498,0.0014658906926880498,0.0012033431059379513,0.0008751586225003282,0.0008751586225003282,0.0009407955191878528,0.000743884829125279,0.0006344900013127379,0.0004157003456876559,0.0004594582768126723,0.0004594582768126723,0.0004375793112501641,0.0004375793112501641,0.0006344900013127379,0.0003719424145626395,0.0002844265523126067,0.0003281844834376231,0.00026254758675009845,0.0005250951735001969,0.00019691069006257385,0.00013127379337504923,0.00010939482781254103,0.00010939482781254103,8.751586225003281e-05
ratio,0.42465560015329074,0.12495209665382521,0.08892878033038182,0.028076403315920047,0.029932027673006716,0.024042437322253373,0.02259020956453337,0.0201294903083967,0.021480868916275035,0.019020149660138364,0.013775993868371689,0.018253696121341697,0.016861977853526694,0.01432057927751669,0.01246495492043002,0.011214425462393353,0.011375784102140019,0.01048831158353335,0.008612517396478349,0.009802537364610016,0.00754351640815668,0.008995744165876682,0.008350309606890014,0.00605094899050001,0.005687892051070009,0.0057080618810383425,0.00389277718388834,0.003812097864015006,0.0035498900744266727,0.0020573226567700033,0.0017144355473083363,0.0012303596280683353,0.0012303596280683353,0.0009076423485750015,0.0010286613283850016,0.0009076423485750015,0.0007059440488916679,0.0007664535387966679,0.00046390608927166746,0.00046390608927166746,0.00046390608927166746,0.00040339659936666734,0.00040339659936666734,0.0004840759192400008,0.00038322676939833396,0.0003227172794933339,0.00026220778958833377,0.0002420379596200004,0.0003227172794933339,0.0001815284697150003,0.00016135863974666695,0.00014118880977833357,0.00010084914984166683,8.067931987333347e-05
ratio,0.42425395553775286,0.12904065691968755,0.08952533546965752,0.02821950731023433,0.029361105547766872,0.023733226517123975,0.023412777889044663,0.01982775886240737,0.02022831964750651,0.018766272781894654,0.015661926697376326,0.01774484277989185,0.01596234728620068,0.0139995994392149,0.01217704786701382,0.011115561786501102,0.011235730022030843,0.010434608451832566,0.009112757861005407,0.009713599038654116,0.007510514720608852,0.008652112958141398,0.008211496094532346,0.005687963148407771,0.005287402363308632,0.005447626677348287,0.0037652713799319047,0.00340476667334268,0.0035649909873823353,0.0016022431403965552,0.001722411375926297,0.0014019627478469858,0.0014420188263568996,0.0009012617664730623,0.0009012617664730623,0.0008011215701982776,0.0009413178449829762,0.0007210094131784498,0.00044061686360905266,0.00042058882435409573,0.00042058882435409573,0.0004005607850991388,0.0004005607850991388,0.00032044862807931103,0.0004005607850991388,0.0003605047065892249,0.00022030843180452633,0.0002002803925495694,0.0002603645103144402,0.0001401962747846986,0.00018025235329461245,0.00016022431403965552,6.008411776487082e-05,0.00012016823552974164
ratio,0.4618149864195558,0.13111119987218406,0.08168237737657773,0.02574293018054002,0.02418517335037546,0.02192842307077808,0.021588911966767856,0.02051046493050008,0.01795414602971721,0.016895670234861798,0.014239495127017096,0.013580444160409011,0.013780156574532673,0.012581882089790702,0.012781594503914364,0.01112398146668797,0.010984182776801407,0.009486339670873941,0.008907173669915322,0.007988496564946478,0.007509186771049689,0.006810193321616872,0.005851573733823294,0.005292378974277041,0.006151142355008787,0.004972839111679182,0.0037745646269372103,0.0037745646269372103,0.0035548809714011824,0.0017374980028758587,0.0013181019332161687,0.0014379293816903658,0.0010584757948554082,0.0008787346221441124,0.0009586195877935772,0.0006989934494328168,0.0005791660009586196,0.0005591947595462534,0.00039942482824732386,0.00041939606965969007,0.00041939606965969007,0.00039942482824732386,0.00039942482824732386,0.00031953986259785906,0.0002995686211854929,0.00033951110401022526,0.0002596261383607605,0.0002196836555360281,0.00017974117271129573,0.00013979868988656336,0.00015976993129892953,9.985620706183097e-05,9.985620706183097e-05,5.991372423709858e-05
ratio,0.44277127900213276,0.13877937913354446,0.08130291475473406,0.025226739050819708,0.024774338094314827,0.024645080678170575,0.02130593076111075,0.020788901096533748,0.018031409552123054,0.017945237941360218,0.017557465692927467,0.014282944483939766,0.014412201900084017,0.012688769684827333,0.012753398392899459,0.011353109718003403,0.011245395204549861,0.010728365539972856,0.008767961395118378,0.008229388827850665,0.00784161657941791,0.007389215622913031,0.005838126629182016,0.004933324716172257,0.0057304121157284735,0.00489023891079084,0.0037269221654925785,0.003963894095090372,0.00415778021930675,0.001701889312565975,0.0013141170641332214,0.0013356599668239298,0.0011848596479889701,0.0009048019130097589,0.0007540015941747991,0.0007755444968655077,0.0009048019130097589,0.0005385725672677137,0.00040931515112346237,0.000473943859195588,0.000473943859195588,0.00043085805381417095,0.00043085805381417095,0.0002800577349792111,0.00034468644305133675,0.00019388612421637692,0.0002800577349792111,0.00025851483228850255,0.00021542902690708547,0.0002800577349792111,0.00015080031883495982,0.00010771451345354274,0.00012925741614425127,6.462870807212564e-05
ratio,0.42821659215101837,0.13870259976817353,0.08838383838383838,0.025273224043715847,0.024900645802285147,0.02338963404537175,0.02533532041728763,0.02111276701440636,0.01763537009438649,0.017159297897002816,0.017573273720814703,0.01620715350223547,0.013454214273886406,0.013454214273886406,0.012336479549594303,0.011549925484351714,0.010846166583871502,0.010473588342440802,0.008403709223381354,0.007844841861235304,0.007555058784566982,0.007555058784566982,0.009314456035767511,0.005961251862891207,0.005588673621460507,0.005298890544792184,0.003932770326212949,0.003974167908594138,0.004553734061930784,0.002194071866203014,0.001407517800960424,0.0013454214273886406,0.0009107468123861566,0.0008693492300049677,0.0007451564828614009,0.0008279516476237788,0.0007244576916708064,0.0007865540652425898,0.000351879450240106,0.0004139758238118894,0.0004139758238118894,0.0004139758238118894,0.0004139758238118894,0.00037257824143070045,0.00031048186785891704,0.00022768670309653916,0.00024838549428713363,0.00022768670309653916,0.0002069879119059447,0.00016559032952475575,0.00016559032952475575,0.00012419274714356682,8.279516476237788e-05,6.209637357178341e-05
ratio,0.4479010086486722,0.11970895148465242,0.08252183953118533,0.027274905779578678,0.025357819750343114,0.023854650022874322,0.022002919199180883,0.022133629610265125,0.018386597825850164,0.018146962072195717,0.014944557000631766,0.014900986863603687,0.014421715356294796,0.013484957410191055,0.01283140535476984,0.012439274121517113,0.011807507134609938,0.011785722066095898,0.009345794392523364,0.008343681240877502,0.007929764939110734,0.0077772694595124505,0.005990893841361131,0.006579090691240224,0.006143389320959414,0.005707687950678605,0.00455307931943446,0.004313443565780014,0.0039430974010413265,0.002505282879114655,0.0015031697274687928,0.0014813846589547524,0.0012635339738143476,0.0008496176720475786,0.0008931878090756596,0.0008278326035335382,0.0006753371239352548,0.0006535520554212143,0.0004792715073088905,0.0004139163017667691,0.0004139163017667691,0.00045748643879485,0.00045748643879485,0.0004139163017667691,0.0004357013702808095,0.0002832058906825262,0.00026142082216848575,0.0003049909591965667,0.00023963575365444525,0.0001960656166263643,0.00015249547959828334,0.00010892534257020238,0.00013071041108424287,6.535520554212144e-05
ratio,0.4534345083160542,0.11558653549212512,0.08210173379803239,0.02660254996250055,0.02572020999691181,0.02335995058896193,0.02227908413111572,0.022036440640578817,0.018815899766179908,0.01817620329112807,0.015021837914148321,0.01519830590726607,0.014426258437375921,0.013477742974368025,0.01323509948383112,0.012418935015661534,0.011823355538889134,0.011338068557815327,0.009485154630078969,0.00829399567653417,0.008007235187717827,0.007345480213526272,0.0061102042617020335,0.006485198747077249,0.005999911766003441,0.005889619270304848,0.0037940618520315877,0.003992588344289055,0.004830811311598359,0.0019190894251555125,0.001698504433758327,0.0013896854458022676,0.0013676269466625492,0.0008823399655887413,0.0008161644681695858,0.0008161644681695858,0.0007058719724709931,0.0006396964750518374,0.0003970529845149336,0.0004852869810738077,0.0004852869810738077,0.00044116998279437067,0.00044116998279437067,0.0003749944853752151,0.00033087748709577803,0.0002647019896766224,0.0002647019896766224,0.00022058499139718533,0.00017646799311774828,0.00017646799311774828,0.00011029249569859267,0.0001323509948383112,0.00011029249569859267,6.61754974191556e-05
ratio,0.44437497304989004,0.13069725324479323,0.08311413910568755,0.025095942391444956,0.02520374283127075,0.02401793799318701,0.02153852787719374,0.0215600879651589,0.01798111336294252,0.017700832219395456,0.018412315122245698,0.014617739640377733,0.014509939200551939,0.013022293130955974,0.012634211547583114,0.012224569876245095,0.01213832952438446,0.010650683454788496,0.008624035186063559,0.008149713250830063,0.007869432107282998,0.007308869820188866,0.0060799448061748095,0.0052175412875684534,0.005734983398732267,0.005239101375533612,0.0039886162735543965,0.004010176361519555,0.00409641671338019,0.0018110473890733474,0.0014014057177353283,0.0014014057177353283,0.0011426846621534217,0.0010133241343624681,0.0009270837825018326,0.0007546030787805615,0.0008192833426760381,0.0006036824630244491,0.00038808158337286014,0.00036652149540770127,0.00036652149540770127,0.00043120175930317793,0.00043120175930317793,0.0004743219352334958,0.00036652149540770127,0.0002371609676167479,0.0002371609676167479,0.00025872105558190676,0.00021560087965158897,0.00012936052779095338,0.00012936052779095338,0.00010780043982579448,0.00010780043982579448,6.468026389547669e-05
