,CPU/SparseToDense,MEMCPY/MEMCPYHtoD,GPU/MEMCPYHtoD,CPU/IteratorGetNext,GPU/MatMul,GPU/SoftmaxCrossEntropyWithLogits,GPU/Unique,CPU/LogUniformCandidateSampler,GPU/ConcatV2,GPU/Add,GPU/Mul,CPU/ComputeAccidentalHits,GPU/Sub,GPU/Slice,GPU/ZerosLike,GPU/GatherV2,GPU/UnsortedSegmentSum,GPU/AddN,GPU/RealDiv,GPU/Shape,GPU/Pad,GPU/ScatterAdd,GPU/Sqrt,GPU/Assign,GPU/AssignSub,GPU/Const,GPU/Log,GPU/Reshape,GPU/Cast,GPU/NoOp,GPU/Snapshot,GPU/Mean,GPU/StridedSlice,GPU/Fill,GPU/BroadcastGradientArgs,GPU/VariableV2,GPU/MEMCPYDtoH,MEMCPY/MEMCPYDtoH,GPU/Tile,GPU/Sum,GPU/Identity,GPU/AssignAdd,GPU/StopGradient,GPU/Pack,CPU/IteratorV2,GPU/ExpandDims,GPU/Size,GPU/ShapeN,CPU/Shape,GPU/ConcatOffset,CPU/Const,MEMCPY/Assign,CPU/_Retval,CPU/NoOp,MEMCPY/ConcatV2,MEMCPY/Snapshot
ratio,0.35946763113858693,0.06128460786279187,0.06128460786279187,0.03338147510197736,0.029314654872615243,0.059717613750271056,0.018791655244929772,0.012355932688806425,0.008162280037804245,0.3109562755454817,0.007450381929243874,0.0065298240302433955,0.0034612977002417998,0.0031626278041216446,0.0011783141107206128,0.008014990773964168,0.0011537659000805999,0.0010432989522005426,0.0011414917947605936,0.0010351162153205383,0.0008059995826804192,0.0007323549507603809,0.0007650858982803979,0.0007814513720404064,0.0005891570553603064,0.0007978168458004149,0.00044186779152022976,0.0010473903206405445,0.000609613897560317,0.0002086597904401085,0.0005196037918802702,0.00045414189684023616,0.0003395835805201766,0.0002823044223601468,0.0002782130539201447,0.00030276126456015744,0.00018820294824009788,0.00018820294824009788,0.0002536648432801319,0.00024548210640012763,0.00013910652696007235,0.00015547200072008085,8.182736880004255e-05,0.00013501515852007022,0.00020456842200010638,0.00011046694788005744,7.36446319200383e-05,5.318778972002766e-05,4.0913684400021274e-05,4.909642128002553e-05,0.00011455831632005957,2.863957908001489e-05,2.4548210640012766e-05,4.909642128002553e-05,1.2274105320006383e-05,8.182736880004254e-06
ratio,0.21661899350861383,0.19475464650026775,0.19475464650026775,0.0543212779018586,0.05503964055744942,0.05229680132701174,0.04312788161383436,0.03893525593302248,0.02430678003735486,0.021381084858221332,0.02225618118412288,0.021354962579836212,0.009900343507960764,0.00940402021864347,0.0036048744171466637,0.0033305904941028958,0.0029126340399409636,0.0029126340399409636,0.0028081449264004805,0.0022203936627352636,0.0018938651829212543,0.0019069263221138148,0.001946109739691496,0.0016587646774551676,0.0016326423990700469,0.0014497864503742017,0.001253869362485796,0.001462847589566762,0.0012277470841006752,0.0007836683515536225,0.0007836683515536225,0.0007706072123610621,0.0006138735420503376,0.0006530569596280187,0.0006138735420503376,0.0005877512636652169,0.0005485678460875358,0.0005485678460875358,0.00045713987173961313,0.0004310175933544924,0.0002873450622363282,0.00032652847981400935,0.000313467340621449,0.0002742839230437679,0.00022203936627352637,0.0002481616446586471,0.00019591708788840563,0.00011755025273304338,0.00011755025273304338,0.000104489113540483,7.836683515536225e-05,9.142797434792262e-05,7.836683515536225e-05,3.918341757768113e-05,2.612227838512075e-05,1.3061139192560375e-05
ratio,0.2127277459656429,0.19448204060385216,0.19448204060385216,0.056988547631441955,0.055622071837584594,0.052719937532535135,0.044625195210827695,0.03915929203539823,0.024648620510150963,0.021134825611660593,0.022358146798542426,0.020900572618427902,0.009903695991671005,0.009513274336283186,0.003656949505465903,0.0029411764705882353,0.0029151483602290473,0.0028500780843310775,0.00269390942217595,0.002355543987506507,0.0019000520562207183,0.0018479958355023425,0.0018610098906819365,0.0016397709526288391,0.0016397709526288391,0.0014966163456533055,0.0011061946902654867,0.0011972930765226444,0.00131441957313899,0.0007287870900572618,0.0008589276418532014,0.0007027589796980739,0.0006507027589796981,0.0006246746486205101,0.0006376887038001041,0.0005856324830817283,0.0005596043727225403,0.0005596043727225403,0.0004294638209266007,0.00039042165538781884,0.000338365434669443,0.000338365434669443,0.0002732951587714732,0.00031233732431025507,0.00022123893805309734,0.0002342529932326913,0.00018219677251431546,0.00018219677251431546,0.00010411244143675169,9.109838625715773e-05,0.00010411244143675169,7.808433107756377e-05,5.2056220718375845e-05,3.9042165538781884e-05,2.6028110359187923e-05,1.3014055179593961e-05
ratio,0.21406070830752197,0.19724268824715635,0.19724268824715635,0.054447680932108444,0.05291877001752975,0.05245746068985515,0.04317855307034308,0.03888178618971676,0.024146248237139355,0.021417933070606687,0.022274650393430954,0.020429413082732533,0.01008290387631638,0.009687495881166717,0.003716835154406822,0.003281886359742194,0.003084182362167363,0.002899658631097521,0.002675594100512712,0.0019374991762333435,0.001911138643223366,0.0018715978437083998,0.0018979583767183773,0.0017266149121535237,0.0016475333131235914,0.0014893701150637266,0.0012389450514689406,0.0011862239854489858,0.0012389450514689406,0.0011730437189439971,0.0007908159902993238,0.0007117343912693915,0.000738094924279369,0.0006721935917544253,0.0005799317262195041,0.0005272106601995493,0.0005799317262195041,0.0005799317262195041,0.0004349487946646281,0.0004217685281596394,0.00030314612961474083,0.0003690474621396845,0.00023724479708979717,0.00028996586310975206,0.00022406453058480843,0.00026360533009977464,0.0001713434645648535,0.00011862239854489858,0.00010544213203990985,9.226186553492112e-05,9.226186553492112e-05,0.00011862239854489858,5.272106601995492e-05,3.954079951496619e-05,2.636053300997746e-05,1.318026650498873e-05
ratio,0.2155808559983133,0.19717214842926417,0.19717214842926417,0.05140470166561248,0.0530123339658444,0.05249841872232764,0.04298439806029939,0.038859898798228966,0.025339974699557243,0.021531730971958676,0.02203246890153911,0.02000316255534472,0.010265127556398903,0.009685325743200506,0.00365011596036264,0.0035842293906810036,0.0029253636938646427,0.002899009065991988,0.002767235926628716,0.0022664979970482817,0.0018975332068311196,0.0019370651486401013,0.0019370651486401013,0.0018184693232131562,0.0015944549862955935,0.001449504532995994,0.001383617963314358,0.001502213788741303,0.001265022137887413,0.00038214210415348936,0.000843348091924942,0.0007642842083069787,0.0006193337550073793,0.0006720430107526882,0.0008169934640522876,0.0005798018131983976,0.0005929791271347248,0.0005929791271347248,0.00043485135989879825,0.00039531941808981655,0.0003426101623445077,0.0003557874762808349,0.000303078220535526,0.000303078220535526,0.00023719165085388995,0.00022401433691756272,0.00022401433691756272,0.0001449504532995994,0.00025036896479021717,0.0001449504532995994,0.00010541851149061775,9.224119755429054e-05,7.906388361796332e-05,3.953194180898166e-05,2.6354627872654437e-05,1.3177313936327219e-05
ratio,0.21618824625176256,0.19367941735767047,0.19367941735767047,0.05547003350452117,0.05469386699093179,0.05199022030192877,0.04396983299483849,0.03905411174210574,0.024423372960945888,0.021215218038109777,0.022702870522489423,0.020232073787563226,0.010116036893781613,0.00963740087706816,0.0036867909395495646,0.0033375160084343426,0.0029235605345200055,0.0028976883174003597,0.002664838363323545,0.0021344579123708006,0.0019533523925332782,0.001914544066853809,0.001914544066853809,0.0017334385470162866,0.0016816941127769944,0.0017075663298966406,0.00187573574117434,0.0013970997244608877,0.0010348886847858427,0.0007761665135893821,0.000750294296469736,0.0007761665135893821,0.0007891026221492051,0.0006726776451107978,0.0006856137536706208,0.0005950609937518596,0.0005562526680723905,0.0005562526680723905,0.0004915721252732753,0.0004656999081536292,0.00036221103967504497,0.0004139554739143371,0.0002975304968759298,0.0002975304968759298,0.0002587221711964607,0.0003363388225553989,0.00020697773695716856,0.0001164249770384073,0.00012936108559823034,0.0001164249770384073,0.00010348886847858428,0.00010348886847858428,9.055275991876124e-05,7.76166513589382e-05,5.174443423929214e-05,1.2936108559823035e-05
ratio,0.2136191027868958,0.19262405869859045,0.19262405869859045,0.06337130720216258,0.054270451181051685,0.05203063654502156,0.04175838321426273,0.03832142627276823,0.02421316856536011,0.021201004054836842,0.022539743837291626,0.020467271674068352,0.010066293364227328,0.009435540966724594,0.0037072793975670977,0.002986419514706829,0.0031022719958808008,0.0028963120293492954,0.0026646070670013518,0.002291304627662998,0.0019051296904164254,0.00184076720087533,0.0018922571925082063,0.0017635322134260153,0.0016219347364356054,0.0017892772092424536,0.0017506597155177962,0.0013644847782712235,0.0010555448284739653,0.0012100148033725945,0.0007723498744931454,0.0008238398661260217,0.0007208598828602691,0.0006307523975027354,0.0006564973933191736,0.0006436248954109545,0.0005663899079616399,0.0005663899079616399,0.0007466048786767072,0.00042479243097122996,0.0003218124477054772,0.00043766492887944904,0.0003218124477054772,0.00029606745188903906,0.0002445774602561627,0.0002317049623479436,0.0004505374267876681,0.00015446997489862907,0.00010297998326575272,0.0001287249790821909,9.010748535753363e-05,0.00010297998326575272,7.723498744931454e-05,5.148999163287636e-05,2.574499581643818e-05,2.574499581643818e-05
ratio,0.21306020588541125,0.19469429135905167,0.19469429135905167,0.05613756888842675,0.053486014349589266,0.052212228345637934,0.0457263179785796,0.03872049495684725,0.02418893625870854,0.021303421025267756,0.02248622231465114,0.020484558594156183,0.009956327337007383,0.009540397213268171,0.0036913798481855047,0.003249454091712592,0.0029635021316418843,0.0028595196007070813,0.0027425392534054277,0.0023006134969325155,0.0019886659041281063,0.0018846833731933036,0.0018976811895601538,0.001689716127690548,0.0017807008422585007,0.0015597379640220443,0.0014557554330872414,0.0012867838203181865,0.0011828012893833836,0.0011178122075491317,0.00105282312571488,0.0007538733492773214,0.0006628886347093689,0.0006888842674430696,0.0006758864510762192,0.0006758864510762192,0.0005459082874077155,0.0005459082874077155,0.0005069148383071644,0.00044192575647291254,0.00036393885827181035,0.0003769366746386607,0.00031194759280440883,0.0003899344910055111,0.00032494540917125925,0.000246958510970157,0.0003899344910055111,0.00012997816366850368,0.00010398253093480295,0.00010398253093480295,0.00011698034730165332,7.798689820110221e-05,6.498908183425184e-05,6.498908183425184e-05,2.599563273370074e-05,1.299781636685037e-05
ratio,0.2155543946715424,0.19546819903356405,0.19546819903356405,0.055126028470680426,0.052801358234295416,0.05260545905707196,0.044821731748726654,0.038866396761133605,0.024291497975708502,0.02153584954943189,0.021313830481911974,0.020673893169648686,0.009951678202951548,0.009585999738801096,0.00380044403813504,0.003147446780723521,0.002951547603500065,0.0028601279874624526,0.002742588481128379,0.0022985503460885466,0.0018806321013451744,0.001906751991641635,0.0018936920464934048,0.0018153323756040225,0.0016586130338252579,0.0015280135823429542,0.0012668146793783466,0.0012145748987854252,0.0012406947890818859,0.000901136215227896,0.0007705367637455923,0.0007444168734491315,0.0006138174219668277,0.00069217709285621,0.0006399373122632885,0.0007313569283009012,0.000587697531670367,0.000587697531670367,0.00044403813503983284,0.00043097818989160243,0.00033955857385398983,0.00033955857385398983,0.0002873187932610683,0.0003134386835575291,0.00016977928692699492,0.00024813895781637717,0.00019589917722345567,0.0001305994514823038,0.00010447956118584302,9.141961603761265e-05,0.00010447956118584302,9.141961603761265e-05,5.223978059292151e-05,6.52997257411519e-05,3.9179835444691135e-05,1.3059945148230378e-05
ratio,0.2143915098592275,0.19257370271627836,0.19257370271627836,0.0634571049547287,0.05218757647180042,0.051376170421029585,0.0444985381811625,0.038844454748013346,0.024097471761781487,0.021341267081385316,0.022513298043609856,0.02029803073039424,0.009865667220483494,0.00935048877554963,0.0036577669590304343,0.003206985819713303,0.0029493965972463712,0.0028721198305062916,0.0027175662970261322,0.002060713779735456,0.0019190397073786433,0.0022925440799556945,0.0019190397073786433,0.0017644861738984842,0.0016872094071584045,0.0015841737181716317,0.001159151501101194,0.0012750666512113132,0.0014167407235681259,0.00041214275594709116,0.0008629238952642222,0.0008886828175109153,0.00064397305616733,0.0010561158121144211,0.0006826114395373698,0.0006053346727972901,0.0005280579060572106,0.0005280579060572106,0.0005022989838105174,0.00043790167819378437,0.00038638383370039796,0.00038638383370039796,0.0003348659892070116,0.00029622760583697177,0.0003735043725770514,0.0002318303002202388,0.00019319191685019898,0.000128794611233466,0.0001159151501101194,0.00010303568898677279,0.0001674329946035058,0.00010303568898677279,9.015622786342619e-05,5.1517844493386396e-05,2.5758922246693198e-05,1.2879461123346599e-05
